成绩一    成绩二    成绩三    成绩四    成绩五
90        82        86        88        87
62        80        94        86        75
68        43        67        80        89
90        90        86        97        97
78        98        78        23        90
67        89        78        67        89
68        90        67        80        89
28        34        30        54        23
78        98        78        93        90
70        82        86        88        87
68        90        67        80        89
78        54        55        43        43
78        98        78        25        90
90        89        78        43        89
68        90        67        80        73
78        90        86        53        97
78        64        12        41        89
67        89        78        67        72
45        90        67        80        89
78        96        86        74        65
